City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Toktogul,KG,41.8708,72.9402,44.31,93,100,2.08,light rain
142,Asyut,EG,27.181,31.1837,51.98,36,0,7.47,clear sky
143,Mendi,PG,-6.1761,143.6513,59.92,91,53,1.23,broken clouds
144,Broome,US,42.2506,-75.833,60.98,78,1,3.51,clear sky
145,Ancud,CL,-41.8697,-73.8203,53.22,86,86,13.71,light rain
146,San Patricio,US,28.017,-97.5169,83.53,40,0,13.87,clear sky
147,Portland,US,45.5234,-122.6762,57.94,55,82,4.0,broken clouds
148,La Ronge,CA,55.1001,-105.2842,26.85,80,100,2.3,overcast clouds
149,Tabou,CI,4.423,-7.3528,79.81,87,37,6.2,scattered clouds
150,Ilebo,CD,-4.3167,20.5833,67.93,98,100,2.01,overcast clouds
151,East London,ZA,-33.0153,27.9116,65.16,76,94,5.21,overcast clouds
152,Morondava,MG,-20.2833,44.2833,78.91,84,100,5.7,light rain
153,Bubaque,GW,11.2833,-15.8333,75.78,70,43,17.16,scattered clouds
154,Cambrils,ES,41.0748,1.0524,59.81,67,100,9.22,overcast clouds
155,Shasta Lake,US,40.6804,-122.3708,71.35,29,1,1.03,clear sky
156,Gorontalo,ID,0.5412,123.0595,74.84,94,77,2.84,broken clouds
157,Bathsheba,BB,13.2167,-59.5167,81.21,61,20,20.71,few clouds
158,Evensk,RU,61.95,159.2333,6.22,74,54,9.15,broken clouds
159,Mataram,ID,-8.5833,116.1167,76.01,89,11,5.59,few clouds
160,Richards Bay,ZA,-28.783,32.0377,68.99,84,94,3.44,light rain
161,Ryotsu,JP,38.0833,138.4333,45.09,75,100,9.8,overcast clouds
162,Port Elizabeth,ZA,-33.918,25.5701,61.32,92,0,4.61,clear sky
163,Falam,MM,22.9167,93.6833,55.85,40,3,3.96,clear sky
164,Baykit,RU,61.67,96.37,-4.54,100,97,1.45,overcast clouds
165,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,0,23.02,clear sky
166,Kaitangata,NZ,-46.2817,169.8464,53.55,80,100,10.8,overcast clouds
167,Oistins,BB,13.0667,-59.5333,80.69,61,20,20.71,few clouds
168,Mugumu,TZ,-1.85,34.7,61.14,91,94,3.31,overcast clouds
169,Lavrentiya,RU,65.5833,-171.0,4.82,82,4,7.23,clear sky
170,Talaya,RU,61.3833,152.75,-14.3,100,100,1.86,overcast clouds
171,Doctor Arroyo,MX,23.6667,-100.1833,76.78,26,3,14.03,clear sky
172,Tuatapere,NZ,-46.1333,167.6833,52.83,79,72,4.79,broken clouds
173,Qaanaaq,GL,77.484,-69.3632,-12.64,78,100,7.49,overcast clouds
174,Havoysund,NO,70.9963,24.6622,36.18,63,54,18.59,broken clouds
175,Tazovskiy,RU,67.4667,78.7,-6.79,100,89,5.53,overcast clouds
176,Lata,PT,40.1629,-8.3327,55.92,94,77,3.69,broken clouds
177,Kirakira,SB,-10.4544,161.9205,83.07,76,100,4.14,overcast clouds
178,Provideniya,RU,64.3833,-173.3,14.36,52,0,4.47,clear sky
179,Padang,ID,-0.9492,100.3543,75.25,92,100,4.23,moderate rain
180,Poum,NC,-20.2333,164.0167,77.07,93,100,12.95,heavy intensity rain
181,Iqaluit,CA,63.7506,-68.5145,-9.74,84,100,2.86,overcast clouds
182,Qandala,SO,11.472,49.8728,76.8,69,0,5.26,clear sky
183,Sergeyevka,KZ,53.88,67.4158,-10.25,100,100,2.53,overcast clouds
184,Nanortalik,GL,60.1432,-45.2371,8.01,81,92,9.64,light snow
185,Omboue,GA,-1.5746,9.2618,77.79,91,90,6.6,light rain
186,Hofn,IS,64.2539,-15.2082,35.44,65,92,27.29,light rain
187,Mersing,MY,2.4312,103.8405,77.32,89,92,2.17,overcast clouds
188,Khasan,RU,42.4308,130.6434,25.07,53,0,16.51,clear sky
189,Ponta Do Sol,PT,32.6667,-17.1,62.06,58,30,7.4,scattered clouds
190,Sabha,LY,27.0377,14.4283,56.93,22,0,17.69,clear sky
191,Mackay,AU,-21.15,149.2,76.68,82,98,15.43,light rain
192,Faanui,PF,-16.4833,-151.75,81.59,63,2,5.61,clear sky
