City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Sitka,US,2022-03-16 04:38:57,57.0531,-135.33,42.69,81,100,8.05
149,Upernavik,GL,2022-03-16 04:38:57,72.7868,-56.1549,-10.28,85,100,4.88
150,Inirida,CO,2022-03-16 04:38:58,3.8653,-67.9239,73.9,94,97,0.6
151,Paclolo,PH,2022-03-16 04:38:58,12.3768,121.1735,88.36,62,69,12.68
152,Yellowknife,CA,2022-03-16 04:37:56,62.456,-114.3525,-3.44,71,20,4.61
153,Dwarka,IN,2022-03-16 04:38:59,22.2394,68.9678,81.46,55,58,10.58
154,Bonthe,SL,2022-03-16 04:39:00,7.5264,-12.505,74.44,92,100,3.42
155,Kudahuvadhoo,MV,2022-03-16 04:39:00,2.6708,72.8944,82.69,71,97,10.0
156,Nikolskoye,RU,2022-03-16 04:39:00,59.7035,30.7861,30.87,95,41,4.38
157,Diamantino,BR,2022-03-16 04:39:01,-14.4086,-56.4461,70.79,95,98,1.23
158,Fuling,CN,2022-03-16 04:39:01,29.7022,107.3919,74.68,74,97,2.48
159,Richards Bay,ZA,2022-03-16 04:39:02,-28.783,32.0377,68.29,86,87,6.96
160,Cidreira,BR,2022-03-16 04:39:02,-30.1811,-50.2056,73.8,77,100,13.87
161,Araouane,ML,2022-03-16 04:39:02,18.9048,-3.5265,67.15,31,68,13.85
162,Provideniya,RU,2022-03-16 04:39:03,64.3833,-173.3,12.31,57,0,2.24
163,Waipawa,NZ,2022-03-16 04:39:03,-41.4122,175.5153,55.06,82,88,11.61
164,Seoul,KR,2022-03-16 04:36:13,37.5683,126.9778,61.99,40,0,6.91
165,Mahanoro,MG,2022-03-16 04:39:05,-19.9,48.8,78.04,86,96,2.26
166,Bambanglipuro,ID,2022-03-16 04:39:05,-7.95,110.2833,84.47,75,84,6.31
167,Atar,MR,2022-03-16 04:39:06,20.5169,-13.0499,58.64,35,0,13.31
168,Havelock,US,2022-03-16 04:39:06,34.8791,-76.9013,62.58,85,100,1.81
169,Hofn,IS,2022-03-16 04:39:07,64.2539,-15.2082,37.24,58,96,34.56
170,Mahibadhoo,MV,2022-03-16 04:39:07,3.7833,72.9667,82.63,74,100,9.62
171,Fortuna,US,2022-03-16 04:39:07,40.5982,-124.1573,48.65,91,40,4.61
172,Hamilton,US,2022-03-16 04:37:13,39.1834,-84.5333,52.75,73,0,3.44
173,Kununurra,AU,2022-03-16 04:39:08,-15.7667,128.7333,96.78,49,75,3.44
174,Kavieng,PG,2022-03-16 04:39:08,-2.5744,150.7967,82.4,78,93,11.92
175,Georgetown,MY,2022-03-16 04:36:09,5.4112,100.3354,87.73,78,20,5.99
176,Orje,NO,2022-03-16 04:39:09,59.4802,11.6602,35.13,97,30,4.25
177,Evensk,RU,2022-03-16 04:39:09,61.95,159.2333,6.58,90,19,0.43
178,Faya,SA,2022-03-16 04:39:10,18.3851,42.4509,55.51,75,35,3.83
179,Lebu,CL,2022-03-16 04:40:10,-37.6167,-73.65,56.79,93,9,11.74
