City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Hovd,MN,21.25,clear sky,48.0056,91.6419,Hotel Khovd
207,Seinajoki,FI,33.35,clear sky,62.7945,22.8282,"Original Sokos Hotel Vaakuna, Seinäjoki"
208,Road Town,VG,78.84,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
209,Dikson,RU,9.43,light snow,73.5069,80.5464,
210,Nagato,JP,48.2,overcast clouds,34.3833,131.2,いそう庵
211,Dhidhdhoo,MV,82.6,broken clouds,6.8833,73.1,Dhidhoo beach
212,Belmonte,BR,78.48,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
213,Naze,JP,64.72,overcast clouds,28.3667,129.4833,Shishime Hotel
214,Hamilton,US,69.89,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
215,Guantanamo,CU,83.46,clear sky,20.1444,-75.2092,Hotel Guantánamo
216,Cartagena,CO,81.9,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
217,Cidreira,BR,69.98,light rain,-30.1811,-50.2056,Hotel Castelo
218,Mawlaik,MM,67.69,clear sky,23.6333,94.4167,AKZ Guest House
219,Schortens,DE,49.14,broken clouds,53.5333,7.95,Hotel Am Bahnhof
221,Makarska,HR,51.93,scattered clouds,43.2969,17.0178,Hotel Park Makarska
222,Thompson,CA,26.62,overcast clouds,55.7435,-97.8558,Burntwood Hotel
223,Bengkulu,ID,75.96,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
224,Port Lincoln,AU,66.78,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
225,Pilibhit,IN,68.85,clear sky,28.6333,79.8,INDIAN WHITE HOUSE
226,Santa Maria,BR,76.06,broken clouds,-29.6842,-53.8069,Hotel Morotin
227,Cabedelo,BR,80.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
228,Harlingen,US,82.49,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
229,Hasaki,JP,41.4,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
230,Luwuk,ID,77.92,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
231,Sept-Iles,CA,24.06,light snow,50.2001,-66.3821,Comfort Inn
232,Adrar,MR,64.81,clear sky,20.5022,-10.0711,
234,Santo Angelo,BR,76.59,scattered clouds,-28.2992,-54.2631,Hotel Nova Esperança
236,Beaufort,MY,74.16,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
237,Karlshamn,SE,34.92,few clouds,56.1706,14.8619,Port Hotel AB
